Configuration,Metric,Mean SymPy,Mean KMap,Mean Diff,Std Diff,t-statistic,p-value,Cohen's d,Effect Size,CI Lower,CI Upper,Significant
2-pos,Time (s),0.00007120,0.00006703,-0.00000417,0.00006283,-1.4914,0.136480,-0.0664,negligible,-0.00000966,0.00000132,No
2-pos,Literals,1.86,1.86,0.00,0.00,nan,nan,0.0000,negligible,nan,nan,No
2-sop,Time (s),0.00005104,0.00004814,-0.00000290,0.00004109,-1.5839,0.113840,-0.0705,negligible,-0.00000649,0.00000070,No
2-sop,Literals,1.85,1.59,-0.26,0.44,-11.0243,0.000000,-0.5944,medium,-0.31,-0.21,Yes
3-pos,Time (s),0.00011999,0.00010189,-0.00001811,0.00006624,-6.1434,0.000000,-0.2734,small,-0.00002390,-0.00001232,Yes
3-pos,Literals,3.82,3.83,0.01,0.16,1.7358,0.083264,0.0806,negligible,-0.00,0.03,No
3-sop,Time (s),0.00014332,0.00010718,-0.00003614,0.00008711,-9.3249,0.000000,-0.4150,small,-0.00004376,-0.00002853,Yes
3-sop,Literals,3.85,3.00,-0.85,0.91,-20.3901,0.000000,-0.9435,large,-0.94,-0.77,Yes
4-pos,Time (s),0.00042667,0.00039530,-0.00003136,0.00016461,-4.2818,0.000022,-0.1905,negligible,-0.00004575,-0.00001697,Yes
4-pos,Literals,9.17,9.20,0.03,0.28,2.2223,0.026710,0.0996,negligible,0.00,0.05,Yes
4-sop,Time (s),0.00038976,0.00035051,-0.00003925,0.00015877,-5.5549,0.000000,-0.2472,small,-0.00005313,-0.00002537,Yes
4-sop,Literals,9.15,6.26,-2.88,1.67,-38.4416,0.000000,-1.7278,large,-3.03,-2.74,Yes
